Name,Team_Abr,W,L,ERA,GS,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,ADP
Marcus Stroman,NYM,8,6,3.88,21,123.0,118,53,15,104,41,1.29,7.61,3.00,4.16,1.9,199.1
Zach Davies,CHC,10,9,4.24,29,152.7,160,72,20,110,45,1.34,6.48,2.65,4.46,1.9,255.8
Patrick Sandoval,LAA,9,8,4.37,27,129.7,121,63,19,134,51,1.33,9.30,3.54,4.35,1.9,592.7
Matthew Manning,DET,8,8,4.43,25,124.0,123,61,18,120,46,1.36,8.71,3.34,4.45,1.9,999.0
Vince Velasquez,PHI,7,6,4.51,23,117.7,111,59,21,139,44,1.32,10.63,3.36,4.45,1.9,569.9
Justus Sheffield,SEA,8,9,4.49,28,148.3,149,74,19,137,69,1.47,8.31,4.19,4.59,1.9,318.9
Sean Hjelle,SFG,9,8,4.25,29,142.0,145,67,16,109,45,1.34,6.91,2.85,4.24,1.8,999.0
Kyle Gibson,TEX,8,9,4.79,24,137.3,143,73,20,122,53,1.43,8.00,3.47,4.62,1.8,561.3
Dylan Cease,CHW,10,9,4.48,30,144.7,137,72,20,146,72,1.44,9.08,4.48,4.63,1.8,361.6
J.A. Happ,MIN,8,8,4.43,23,124.0,120,61,18,114,43,1.31,8.27,3.12,4.40,1.8,418.7
Reynaldo Lopez,CHW,10,9,4.68,28,148.0,145,77,24,132,57,1.36,8.03,3.47,4.84,1.8,596.1
Seth Lugo,NYM,9,7,4.10,23,127.3,117,58,23,139,27,1.13,9.83,1.91,4.18,1.8,532.0
Brad Keller,KCR,11,11,4.45,29,165.7,161,82,21,124,63,1.35,6.74,3.42,4.61,1.8,358.4
Josh Lindblom,MIL,8,7,4.58,22,125.7,125,64,21,123,35,1.27,8.81,2.51,4.41,1.8,321.3
Jordan Montgomery,NYY,5,4,4.15,19,93.3,90,43,13,90,31,1.30,8.68,2.99,4.16,1.8,247.0
Framber Valdez,HOU,9,8,4.11,18,124.7,112,57,14,131,59,1.37,9.45,4.26,4.16,1.8,185.1
Joey Lucchesi,PIT,8,6,4.01,23,116.7,109,52,16,117,39,1.27,9.02,3.01,4.10,1.7,579.2
Yonny Chirinos,TBR,7,6,4.24,18,119.0,118,56,19,104,29,1.24,7.87,2.19,4.40,1.7,999.0
Chris Archer,TBR,6,5,4.29,19,102.7,100,49,15,115,38,1.34,10.08,3.33,4.07,1.7,471.0
Jameson Taillon,NYY,7,5,4.40,18,106.3,109,52,17,92,26,1.27,7.79,2.20,4.41,1.7,193.8
Kwang-hyun Kim,STL,9,8,4.05,24,140.0,139,63,20,117,37,1.26,7.52,2.38,4.34,1.7,293.5
Griffin Canning,LAA,7,6,4.30,23,119.3,110,57,19,124,42,1.27,9.35,3.17,4.49,1.7,299.8
Randy Dobnak,MIN,10,10,4.53,25,137.0,153,69,17,91,37,1.39,5.98,2.43,4.51,1.7,557.8
Ian Anderson,ATL,9,6,4.15,24,121.3,104,56,16,144,63,1.38,10.68,4.67,4.26,1.7,101.2
Chad Green,NYY,6,3,3.04,8,71.0,55,24,10,99,20,1.06,12.55,2.54,3.23,1.7,545.0
Jakob Junis,KCR,9,9,4.62,25,142.3,149,73,23,129,39,1.32,8.16,2.47,4.56,1.7,595.7
Trent Thornton,TOR,7,6,4.62,22,117.0,120,60,18,109,36,1.33,8.38,2.77,4.40,1.7,600.7
Jake Odorizzi,HOU,8,7,4.32,24,120.7,112,58,21,125,41,1.27,9.32,3.06,4.50,1.7,295.5
Merrill Kelly,ARI,9,9,4.74,22,131.0,136,69,22,118,41,1.35,8.11,2.82,4.65,1.7,494.0
