Name,Team_Abr,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Yordan Alvarez,HOU,104,449,393,111,25,0,28,66,82,51,119,2,4,1,.282,.365,.560,.925,.378,0.0,0.1,2.8,76.8
Andrelton Simmons,MIN,131,535,497,138,28,2,7,63,51,32,53,3,10,2,.278,.323,.384,.708,.304,11.8,0.8,2.7,490.3
Byron Buxton,MIN,112,397,370,95,20,3,21,57,61,20,106,3,15,3,.257,.299,.497,.796,.329,9.2,1.5,2.7,110.5
Javier Baez,CHC,156,606,571,152,31,4,29,85,91,27,170,4,12,5,.266,.302,.487,.789,.324,2.3,0.0,2.7,73.3
Salvador Perez,KCR,111,449,426,113,23,0,24,49,75,12,98,7,1,0,.265,.294,.488,.782,.323,4.8,0.0,2.7,84.8
Tim Anderson,CHW,143,604,577,168,31,3,23,91,69,20,137,4,18,5,.291,.318,.475,.793,.332,-7.3,1.1,2.7,44.5
Kris Bryant,CHC,133,596,515,130,29,3,24,86,67,62,137,15,3,2,.252,.347,.460,.808,.342,-2.1,-0.6,2.6,124.4
Brian Anderson,MIA,145,593,523,133,28,3,22,69,80,52,148,15,3,2,.254,.337,.446,.783,.332,-0.3,-0.6,2.6,254.9
Luke Voit,NYY,130,509,448,121,21,1,31,77,97,52,128,8,0,0,.270,.356,.529,.885,.369,-1.8,-0.3,2.6,61.4
Pete Alonso,NYM,144,616,536,132,24,1,41,81,110,61,164,16,2,2,.246,.339,.524,.864,.356,-0.5,-0.8,2.6,56.5
Jorge Polanco,MIN,148,635,577,161,32,5,17,79,72,46,102,3,9,5,.279,.333,.440,.773,.327,-3.4,-0.7,2.6,247.9
Vladimir Guerrero Jr.,TOR,146,601,544,150,33,5,26,77,98,50,95,5,2,1,.276,.341,.498,.839,.351,1.6,-0.3,2.6,53.4
Jose Iglesias,LAA,136,505,479,142,35,2,8,55,63,16,61,6,6,4,.296,.326,.428,.754,.319,4.7,-0.8,2.5,514.8
Rhys Hoskins,PHI,145,629,520,125,30,2,32,93,112,95,157,10,4,2,.240,.366,.490,.856,.361,-0.6,-0.4,2.5,162.9
Giovanny Urshela,NYY,138,508,466,132,28,0,18,68,79,32,87,4,2,0,.283,.331,.459,.790,.331,1.9,0.1,2.5,162.8
Ty France,SEA,143,565,508,136,26,3,18,69,74,34,119,19,1,2,.268,.335,.437,.772,.328,-0.6,-1.0,2.5,329.6
Giancarlo Stanton,NYY,123,527,452,113,23,1,38,79,111,64,172,6,3,2,.250,.347,.558,.905,.369,0.0,-0.5,2.5,116.5
Eloy Jimenez,CHW,137,567,529,151,30,2,34,72,106,32,136,3,0,0,.285,.328,.543,.871,.359,-6.8,-0.3,2.5,31.7
Ke'Bryan Hayes,PIT,121,513,456,119,30,6,12,64,50,48,105,4,8,2,.261,.334,.432,.766,.323,7.4,0.5,2.5,144.4
Max Muncy,LAD,136,535,442,107,18,1,29,82,99,84,139,6,4,1,.242,.368,.484,.852,.359,-0.1,0.0,2.5,98.0
Brandon Nimmo,NYM,129,498,410,100,21,5,16,67,49,74,123,12,4,3,.244,.373,.437,.810,.349,-4.9,-0.8,2.5,270.1
Justin Turner,LAD,110,454,395,110,23,1,15,61,59,42,72,13,2,0,.278,.363,.456,.819,.348,-2.1,0.1,2.5,200.6
Christian Vazquez,BOS,126,467,432,115,22,1,15,54,51,30,90,2,7,4,.266,.315,.426,.741,.314,6.8,-0.6,2.4,151.9
Anthony Rizzo,CHC,138,592,497,130,24,2,24,73,85,68,89,22,7,3,.262,.372,.463,.834,.352,3.6,-0.3,2.4,107.0
Gavin Lux,LAD,132,556,507,126,23,7,24,76,89,46,132,1,9,5,.249,.311,.464,.775,.324,0.0,-0.6,2.4,234.1
Alec Bohm,PHI,135,572,514,144,27,3,18,72,78,50,110,3,5,3,.280,.344,.449,.794,.336,0.4,-0.6,2.4,999.0
Willson Contreras,CHC,129,498,429,107,22,2,18,63,68,49,118,17,3,4,.249,.347,.436,.783,.335,-2.9,-1.4,2.4,124.2
Nelson Cruz,MIN,113,474,416,115,18,0,32,65,86,48,122,8,0,0,.276,.361,.550,.911,.373,0.0,-0.2,2.4,92.0
Trent Grisham,SDP,144,598,508,122,21,7,21,82,73,79,142,5,16,4,.240,.346,.433,.779,.332,5.7,1.1,2.4,69.1
Aaron Hicks,NYY,112,459,381,91,19,3,16,67,61,72,99,2,7,3,.239,.359,.430,.790,.339,0.0,-0.2,2.4,261.5
Mike Yastrzemski,SFG,137,550,488,129,28,5,22,76,78,52,138,6,5,4,.264,.341,.477,.818,.342,4.1,-1.0,2.4,140.1
Didi Gregorius,PHI,127,522,480,132,23,3,22,73,91,30,68,5,5,3,.275,.321,.473,.793,.328,1.0,-0.6,2.3,160.5
Kolten Wong,MIL,143,525,458,123,23,4,10,61,53,45,82,13,14,5,.269,.348,.402,.750,.322,6.3,0.3,2.2,252.2
Willi Castro,DET,146,605,556,154,27,7,16,73,72,31,140,8,10,4,.277,.322,.437,.759,.320,-2.7,-0.1,2.2,251.6
Ian Happ,CHC,152,567,488,122,23,2,27,76,77,72,168,4,8,5,.250,.350,.471,.821,.345,-6.5,-0.9,2.2,164.4
David Fletcher,LAA,152,665,612,171,33,4,8,79,52,44,73,3,9,4,.279,.329,.386,.715,.307,4.9,-0.3,2.2,236.5
J.P. Crawford,SEA,135,564,493,120,21,6,10,68,58,60,119,6,9,4,.243,.331,.371,.702,.306,1.8,-0.3,2.2,497.3
Paul Goldschmidt,STL,142,599,517,135,26,2,23,79,72,76,144,4,5,2,.261,.359,.453,.812,.344,2.5,-0.2,2.2,92.7
Miguel Rojas,MIA,138,494,448,121,22,1,8,51,50,35,60,7,9,4,.270,.331,.377,.708,.304,7.6,-0.2,2.2,501.7
Nick Ahmed,ARI,147,554,505,129,29,4,15,68,72,42,112,2,7,2,.255,.312,.418,.730,.308,7.8,0.3,2.2,471.6
Nolan Jones,CLE,133,566,492,114,19,3,24,69,65,68,179,4,5,3,.232,.329,.429,.757,.323,2.3,-0.6,2.1,577.8
Yandy Diaz,TBR,118,484,420,116,20,1,8,60,41,59,80,2,2,2,.276,.366,.386,.751,.327,-0.6,-0.8,2.1,527.7
Chris Taylor,LAD,139,528,471,120,28,5,18,71,74,48,146,5,10,4,.255,.328,.450,.778,.328,-4.5,0.0,2.1,232.5
Dansby Swanson,ATL,145,597,533,134,29,3,19,81,81,54,154,4,11,3,.251,.323,.424,.747,.314,2.9,0.6,2.1,109.2
Randy Arozarena,TBR,127,482,427,112,22,3,21,67,60,36,116,15,16,9,.262,.339,.475,.814,.342,-6.8,-1.0,2.1,58.5
Alex Verdugo,BOS,140,534,484,141,32,2,14,69,51,43,87,3,8,2,.291,.350,.452,.803,.339,3.3,0.4,2.1,130.2
Adalberto Mondesi,KCR,130,528,492,125,24,9,15,68,63,24,154,2,46,11,.254,.289,.431,.720,.301,4.1,4.2,2.1,24.1
Mitch Haniger,SEA,99,430,379,96,22,2,18,59,57,40,107,8,5,2,.253,.335,.464,.799,.337,3.8,-0.1,2.1,251.9
Kyle Schwarber,WSN,140,536,457,108,20,2,33,75,87,72,152,5,2,2,.236,.345,.505,.851,.352,0.2,-0.7,2.1,198.1
Mike Brosseau,TBR,119,430,389,100,20,2,15,50,51,27,106,10,6,4,.257,.319,.434,.754,.320,3.9,-0.8,2.0,499.1
Alejandro Kirk,TOR,101,386,347,90,24,2,10,47,47,34,56,3,1,0,.259,.329,.427,.756,.321,0.5,0.0,2.0,314.8
Willy Adames,TBR,149,593,532,129,25,3,18,69,60,54,173,2,7,4,.242,.313,.402,.715,.305,0.2,-0.6,2.0,436.5
Mike Tauchman,NYY,122,416,366,95,20,4,11,58,54,43,92,3,13,4,.260,.339,.426,.765,.323,9.9,0.6,2.0,579.5
Miguel Sano,MIN,119,491,430,100,21,2,34,78,84,55,189,4,0,0,.233,.324,.528,.852,.351,1.2,-0.2,2.0,197.5
Manuel Margot,TBR,145,507,463,119,23,4,13,60,53,37,103,2,21,7,.257,.313,.408,.721,.306,4.5,0.9,2.0,258.5
Austin Meadows,TBR,134,545,491,123,26,4,23,68,71,45,136,5,11,4,.251,.318,.460,.778,.325,3.2,0.2,2.0,90.6
Kyle Seager,SEA,129,539,475,117,26,1,20,63,82,50,96,8,5,2,.246,.325,.432,.756,.318,-1.0,-0.1,2.0,290.7
Danny Jansen,TOR,113,417,361,83,17,1,17,52,60,42,79,8,1,0,.230,.322,.424,.746,.318,-0.4,0.0,2.0,316.3
Lorenzo Cain,MIL,121,511,460,127,21,2,8,64,35,44,84,5,14,5,.276,.344,.383,.727,.315,7.2,0.3,2.0,268.7
Victor Robles,WSN,149,583,517,132,27,5,14,74,62,35,135,22,23,7,.255,.327,.408,.735,.314,5.4,1.2,1.9,143.4
Mark Canha,OAK,128,489,411,98,23,3,19,67,66,58,118,15,4,1,.238,.350,.448,.797,.339,-1.7,0.1,1.9,262.4
Jake Cronenworth,SDP,119,500,449,118,24,5,8,61,48,43,87,5,11,4,.263,.332,.392,.724,.312,2.3,0.2,1.9,210.1
Sean Murphy,OAK,85,341,306,74,17,1,13,42,41,26,79,4,1,0,.242,.306,.431,.737,.311,2.9,0.0,1.9,181.8
Wander Franco,TBR,126,534,487,128,23,6,14,62,56,40,72,1,10,11,.263,.316,.421,.737,.310,0.6,-3.1,1.9,999.0
Kevin Kiermaier,TBR,115,433,396,93,18,7,12,52,50,30,106,5,14,5,.235,.296,.407,.703,.297,9.5,0.4,1.9,538.9
Anthony Santander,BAL,136,572,536,143,35,3,26,70,92,28,103,5,3,4,.267,.308,.489,.796,.329,3.3,-1.4,1.9,165.1
Luis Urias,MIL,141,545,479,118,24,5,11,64,60,53,128,10,6,4,.246,.333,.386,.719,.311,3.7,-0.8,1.8,483.8
Eddie Rosario,CLE,143,591,554,155,29,2,29,84,96,31,90,0,7,3,.280,.315,.496,.812,.335,0.3,-0.2,1.8,106.7
Yasiel Puig, ,143,546,495,130,26,2,24,68,81,43,115,4,16,7,.263,.324,.469,.793,.331,3.3,-0.1,1.8,432.4
Willians Astudillo,MIN,93,329,310,89,17,1,12,43,44,8,14,6,2,3,.287,.314,.465,.779,.325,1.7,-1.1,1.8,595.5
Jonathan Schoop,DET,135,537,502,135,24,2,24,71,75,22,114,9,1,0,.269,.309,.468,.777,.324,-1.9,-0.1,1.8,372.3
Starling Marte,MIA,138,590,545,148,27,4,15,80,64,25,105,16,25,8,.272,.321,.418,.739,.314,-1.6,1.2,1.8,49.7
Tommy Pham,SDP,126,531,461,119,21,2,16,71,60,63,115,5,22,5,.258,.352,.416,.769,.331,1.4,1.9,1.8,137.2
Brett Gardner,NYY,118,443,383,92,17,5,16,63,52,52,100,4,9,5,.240,.335,.436,.771,.328,-0.7,-0.6,1.8,569.4
Jose Abreu,CHW,135,589,540,148,32,2,29,74,112,33,134,10,1,1,.274,.324,.502,.826,.341,-1.8,-0.5,1.8,40.7
Amed Rosario,CLE,156,609,575,163,27,8,14,77,61,26,119,3,16,8,.283,.316,.431,.748,.314,-3.1,-0.6,1.8,369.5
Harrison Bader,STL,138,440,386,88,17,3,15,61,46,38,140,12,12,4,.228,.314,.404,.718,.306,7.5,0.4,1.7,513.7
Lourdes Gurriel Jr.,TOR,126,508,474,129,27,1,25,64,79,25,116,4,6,4,.272,.311,.492,.803,.333,1.3,-0.8,1.7,88.9
Dominic Smith,NYM,149,541,494,134,33,2,21,68,80,38,128,6,1,1,.271,.329,.474,.803,.337,-1.8,-0.5,1.7,124.0
Nick Madrigal,CHW,120,500,462,134,20,2,4,49,37,24,26,9,17,10,.290,.335,.368,.703,.305,6.0,-1.3,1.7,189.9
Pat Valaika,BAL,144,433,408,110,18,2,21,64,56,21,104,0,1,4,.270,.305,.478,.783,.326,1.0,-1.7,1.7,556.3
Tucker Barnhart,CIN,120,403,355,84,16,1,11,33,44,42,88,2,1,1,.237,.319,.380,.699,.299,8.5,-0.4,1.7,528.2
Austin Hays,BAL,121,504,473,126,22,2,19,65,64,23,104,5,8,7,.266,.306,.442,.747,.314,3.0,-1.7,1.7,251.6
Adley Rutschman,BAL,144,594,536,123,29,0,16,68,70,46,126,4,6,0,.229,.291,.373,.664,.284,4.2,0.9,1.7,504.1
Trey Mancini,BAL,127,527,481,133,25,3,24,64,77,36,119,6,1,0,.277,.332,.491,.823,.343,-4.9,-0.1,1.7,163.8
Buster Posey,SFG,111,450,407,109,21,1,6,43,45,37,65,4,2,1,.268,.333,.369,.702,.302,2.4,-0.3,1.7,236.7
Jurickson Profar,SDP,136,518,460,117,24,2,16,68,67,45,77,9,10,1,.254,.331,.420,.750,.320,-2.0,1.3,1.7,291.0
Jason Heyward,CHC,131,500,436,112,18,4,14,62,59,57,89,4,5,2,.257,.346,.413,.759,.326,6.6,-0.2,1.7,513.2
Travis Shaw,MIL,128,483,419,96,19,0,23,56,58,58,131,3,3,1,.229,.325,.439,.764,.323,1.7,-0.1,1.6,555.5
Travis d'Arnaud,ATL,111,422,382,101,18,0,16,46,79,33,97,3,1,0,.264,.325,.437,.762,.322,-2.0,0.0,1.6,139.6
Cesar Hernandez,CLE,149,647,578,152,30,3,11,79,52,61,127,5,8,3,.263,.337,.382,.720,.312,-0.1,-0.1,1.6,392.1
Hanser Alberto,KCR,144,571,544,161,31,2,9,69,50,13,58,5,5,3,.296,.316,.410,.726,.308,3.7,-0.6,1.6,567.1
Jorge Soler,KCR,129,526,455,112,23,0,30,63,80,61,158,7,2,0,.246,.342,.495,.837,.350,0.0,0.1,1.6,143.9
Wil Myers,SDP,135,511,458,114,25,3,25,65,84,48,149,3,12,4,.249,.323,.480,.803,.336,-0.8,0.4,1.6,136.2
Danny Mendick,CHW,141,532,469,111,19,2,13,60,51,54,115,4,12,7,.237,.318,.369,.687,.298,6.5,-0.9,1.6,601.0
Jake Rogers,DET,108,440,390,79,15,2,16,50,53,37,137,7,4,2,.203,.281,.374,.655,.280,10.1,-0.3,1.6,600.9
Tommy Edman,STL,142,595,548,142,23,6,12,72,55,34,114,7,14,5,.259,.309,.389,.697,.298,6.7,0.3,1.6,133.1
Joshua Lowe,TBR,126,541,486,108,22,4,17,60,60,45,163,3,23,9,.222,.291,.389,.679,.290,7.2,0.4,1.6,999.0
Adam Eaton,CHW,126,539,474,124,22,4,12,75,48,46,93,10,11,2,.262,.339,.401,.740,.319,2.5,1.0,1.6,405.9
Mike Moustakas,CIN,132,529,475,122,26,0,28,60,91,44,100,6,3,0,.257,.325,.488,.814,.336,-6.2,0.4,1.6,121.2
Carter Kieboom,WSN,128,537,462,116,19,2,12,70,62,60,122,11,3,3,.251,.348,.379,.727,.318,-0.9,-1.0,1.5,475.8
Joey Gallo,TEX,127,488,412,85,19,2,32,71,78,69,187,7,6,2,.206,.330,.495,.825,.344,0.6,0.1,1.5,158.2
Rowdy Tellez,TOR,132,497,448,117,26,0,27,67,84,39,114,5,2,3,.261,.324,.500,.824,.340,0.5,-1.1,1.5,301.1
Jordan Luplow,CLE,117,412,360,87,20,3,15,52,54,45,97,5,4,4,.242,.333,.439,.771,.327,6.4,-1.2,1.5,999.0
Adam Frazier,PIT,151,572,519,138,28,4,12,68,54,41,78,7,5,6,.266,.327,.405,.732,.312,3.1,-1.9,1.5,527.1
Randal Grichuk,TOR,142,563,523,130,29,3,31,76,90,33,146,4,3,2,.249,.297,.493,.790,.325,-7.7,-0.5,1.5,255.8
Eduardo Escobar,ARI,144,600,548,139,29,7,22,71,82,41,117,4,3,2,.254,.307,.453,.759,.313,2.3,-0.5,1.5,304.0
