Name,Team_Abr,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Curt Casali,SFG,88,278,244,55,10,0,7,25,29,28,71,4,2,0,.225,.313,.352,.665,.290,-2.7,0.2,0.4,594.3
Ryder Jones, ,120,469,430,101,24,3,13,50,56,30,123,6,3,1,.235,.292,.395,.687,.291,1.1,0.0,0.4,999.0
Stephen Owen,PIT,113,437,397,85,18,2,15,48,49,22,143,15,2,2,.214,.280,.383,.663,.282,4.9,-0.7,0.4,999.0
Greg Garcia,DET,129,295,251,60,10,2,3,31,26,34,61,4,2,1,.239,.337,.331,.667,.297,-0.4,-0.2,0.4,999.0
Ronny Rodriguez, ,128,495,466,115,22,4,19,53,69,20,118,1,8,3,.247,.276,.433,.710,.295,-0.2,0.1,0.4,999.0
Justin Upton,LAA,113,464,410,91,17,0,23,59,75,43,139,7,4,3,.222,.304,.432,.736,.311,-2.7,-0.7,0.4,381.7
Matt Thaiss,LAA,121,516,461,104,20,3,15,58,56,49,125,3,3,2,.226,.302,.380,.682,.293,-3.0,-0.5,0.4,999.0
Tim Beckham,CHW,107,427,394,94,18,2,17,49,60,28,125,3,3,4,.239,.293,.424,.717,.303,-8.2,-1.3,0.4,999.0
Hernan Perez,WSN,121,364,341,87,16,2,11,40,41,19,75,0,10,2,.255,.293,.411,.703,.297,-0.1,1.0,0.4,999.0
Xavier Fernandez,CHW,88,335,312,74,14,0,10,36,36,18,61,2,2,2,.237,.281,.378,.660,.280,-1.8,-0.6,0.4,999.0
Welington Castillo,WSN,81,301,282,69,13,0,12,27,49,16,84,2,0,0,.245,.289,.418,.707,.298,-3.4,-0.1,0.4,999.0
Anthony Garcia, ,109,436,388,94,19,1,16,52,60,37,99,7,3,3,.242,.317,.420,.737,.312,-2.1,-0.9,0.4,999.0
Chas McCormick,HOU,117,468,415,101,13,4,9,51,40,43,80,4,13,4,.243,.316,.359,.675,.293,1.1,0.6,0.4,599.9
Yuli Gurriel,HOU,127,528,487,126,28,2,16,62,65,28,56,6,2,2,.259,.303,.423,.726,.305,0.7,-0.7,0.4,320.6
Rene Pinto,TBR,93,348,322,68,17,1,5,31,29,20,92,2,1,3,.211,.259,.317,.575,.248,6.8,-1.3,0.3,999.0
Jonathan India,CIN,119,500,437,98,15,4,13,53,41,46,144,13,8,5,.224,.314,.366,.680,.295,1.9,-0.8,0.3,600.8
Aramis Garcia,OAK,107,430,399,83,18,2,13,43,49,25,140,3,0,1,.208,.259,.361,.620,.264,0.6,-0.6,0.3,600.0
Rafael Ortega,CHC,137,526,480,118,25,6,11,58,51,43,94,1,14,6,.246,.309,.392,.700,.299,-3.4,-0.1,0.3,999.0
Santiago Espinal,TOR,120,470,434,105,19,2,7,50,40,27,88,2,8,6,.242,.288,.343,.631,.272,6.6,-1.2,0.3,999.0
Garrett Hampson,COL,132,513,465,121,18,7,11,64,39,39,127,1,25,6,.260,.317,.400,.717,.306,1.4,2.1,0.3,259.5
Steven Kwan,CLE,134,585,536,137,26,8,4,61,39,41,69,3,10,7,.256,.310,.356,.666,.287,1.8,-1.4,0.3,999.0
Luis Garcia,WSN,141,559,535,138,21,3,10,63,53,19,107,0,8,5,.258,.282,.364,.647,.275,1.1,-0.8,0.3,587.9
Jack Mayfield,LAA,115,430,398,96,23,1,15,52,55,22,95,4,4,2,.241,.284,.417,.701,.294,-3.0,-0.3,0.3,999.0
Michael Gettys,BOS,128,533,494,105,25,6,18,63,72,31,204,4,14,7,.213,.263,.397,.660,.276,7.1,-0.4,0.3,999.0
Edmundo Sosa,STL,134,531,496,120,22,3,10,55,47,18,113,10,4,3,.242,.280,.359,.639,.272,3.8,-0.7,0.3,999.0
Jarrod Dyson,KCR,100,312,280,64,7,2,3,42,20,26,51,3,23,3,.229,.300,.300,.600,.265,4.3,3.1,0.3,999.0
Tommy La Stella,SFG,129,399,358,96,17,2,8,49,42,33,36,4,1,0,.268,.334,.394,.728,.313,-7.8,0.0,0.3,371.6
Eric Hosmer,SDP,139,581,533,139,24,1,20,67,98,43,127,2,6,2,.261,.317,.422,.739,.312,0.4,0.0,0.3,154.5
Juan Lagares,LAA,113,268,246,60,11,2,3,35,21,16,58,3,5,2,.244,.297,.341,.638,.274,3.8,0.0,0.3,999.0
Andrew Knapp,PHI,88,242,203,47,10,1,5,24,24,34,69,2,0,0,.232,.346,.365,.710,.310,-5.4,-0.1,0.3,586.3
Tim Federowicz,LAD,81,292,269,59,13,0,8,27,33,18,79,1,1,0,.219,.269,.357,.626,.266,2.2,0.1,0.3,999.0
Jason Vosler,SFG,124,491,441,98,19,3,14,55,54,39,139,7,1,1,.222,.293,.374,.667,.286,1.5,-0.5,0.3,999.0
Mike Gerber, ,119,488,448,114,30,3,20,62,69,33,148,4,4,3,.254,.310,.469,.779,.326,-4.3,-0.7,0.3,999.0
Kennys Vargas, ,127,497,446,106,19,1,22,57,64,44,128,3,0,0,.238,.308,.433,.741,.311,0.9,-0.2,0.3,999.0
Pablo Reyes,MIL,131,456,415,98,20,3,13,52,53,33,99,3,9,6,.236,.296,.393,.689,.294,7.8,-1.0,0.3,999.0
Brendan Rodgers,COL,100,389,359,92,20,2,12,46,46,22,88,5,5,2,.256,.306,.423,.729,.307,2.8,-0.1,0.3,425.2
Erick Mejia,KCR,126,513,468,108,21,4,5,53,38,33,114,2,17,7,.231,.283,.325,.607,.264,6.6,0.1,0.3,999.0
Kyle Farmer,CIN,110,310,287,70,15,1,6,28,30,18,65,4,3,1,.244,.297,.366,.663,.284,-0.4,0.0,0.3,596.0
Mason McCoy,BAL,131,573,533,127,19,7,4,56,39,33,118,2,8,3,.238,.284,.323,.606,.263,5.8,0.0,0.3,999.0
Brent Rooker,MIN,101,416,374,87,19,1,19,53,58,32,137,8,2,1,.233,.305,.441,.746,.314,-3.6,-0.2,0.3,593.3
Kelvin Gutierrez,KCR,103,424,388,89,12,4,7,39,36,32,112,2,11,2,.229,.290,.335,.625,.272,5.0,1.1,0.3,999.0
Ryan Vilade,COL,136,608,543,138,24,7,10,71,49,48,129,3,15,9,.254,.313,.379,.693,.297,9.1,-1.2,0.3,999.0
Deivy Grullon,CIN,105,439,394,90,18,0,18,48,60,40,160,2,1,0,.228,.301,.411,.712,.303,-8.8,0.0,0.3,598.5
Connor Hollis,TBR,53,221,198,45,9,1,3,24,16,16,51,6,5,3,.227,.303,.328,.631,.278,1.9,-0.4,0.3,999.0
Tyler Wade,NYY,126,411,367,81,16,3,7,51,36,35,105,4,15,5,.221,.294,.338,.632,.275,0.0,0.6,0.3,599.9
Zach Green,MIL,101,395,356,74,19,2,18,46,55,31,152,6,1,1,.208,.281,.424,.705,.296,-0.3,-0.4,0.3,999.0
Peter Mooney, ,102,370,331,75,17,3,4,37,28,33,63,2,3,2,.227,.300,.332,.632,.276,4.1,-0.5,0.3,999.0
Taylor Gushue,CHC,94,371,339,76,15,1,12,38,41,25,101,2,0,0,.224,.278,.381,.658,.278,-0.7,-0.2,0.3,999.0
Greg Cullen,BAL,104,454,400,87,16,4,7,48,34,41,99,12,1,3,.218,.308,.330,.638,.283,2.0,-1.4,0.3,999.0
Tyler Naquin,CIN,104,356,334,84,17,2,12,40,47,16,92,2,3,2,.251,.287,.422,.709,.296,6.0,-0.4,0.3,600.5
Ryan McKenna,BAL,136,575,514,120,23,5,12,66,54,47,141,6,15,10,.233,.304,.368,.672,.290,-1.9,-1.6,0.3,999.0
Howie Kendrick, ,103,357,327,97,17,0,10,45,51,22,54,3,2,1,.297,.342,.440,.782,.328,-1.9,-0.2,0.2,999.0
Alex Dunlap,WSN,68,249,219,42,9,0,6,24,21,23,83,5,0,0,.192,.281,.315,.596,.263,4.3,-0.1,0.2,999.0
Tyrone Taylor,MIL,115,390,359,84,19,3,14,45,47,22,91,5,5,1,.234,.285,.421,.706,.297,4.2,0.4,0.2,600.6
Zack Cozart, ,84,332,298,71,14,3,6,36,33,25,53,5,1,0,.238,.304,.366,.670,.287,0.5,0.0,0.2,999.0
Geraldo Perdomo,ARI,105,455,397,88,16,3,5,47,32,44,93,10,19,12,.222,.313,.315,.628,.279,3.8,-1.7,0.2,999.0
Lucius Fox,KCR,128,533,477,110,21,8,5,56,36,42,126,8,29,11,.231,.302,.340,.642,.280,-2.0,0.7,0.2,999.0
Gabriel Arias,CLE,133,557,523,122,22,4,17,58,63,26,173,3,6,5,.233,.272,.388,.660,.277,1.5,-1.2,0.2,999.0
